cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2022,CORP,35944109,,3,0.0034,3,0.0034,71617.8,1600127.8,1218000.3,367646.58,0,1
12/31/2022,CORP,53511896,,7,0.0453,7,0.0453,1511067,1686248,1642453,1795835,0,1
12/31/2022,CORP,20333749,,6,0.0162,6,0.0162,226783.4,226783.4,226783.4,155739.3,0,1
12/31/2022,CORP,60265381,,9,0.181,9,0.181,4248640.4,4252291.54,4001378.76,6530230.35,0,1
12/31/2022,CORP,12159492,,6,0.0177,6,0.0177,0,389999.7,270000.3,217160.9,0,1
12/31/2022,CORP,67124959,,8,0.108923,8,0.108923,4387423,4400005.5,4396859.91,6052848.2,0,1
12/31/2022,CORP,69892845,,7,0.048174,7,0.048174,7177600,12919670,11484150,14758880,0,1
12/31/2022,CORP,63820477,,4,0.004803,2,0.0014,75027500,80000011.5,78756878.63,,0,1
12/31/2022,CORP,12714901,,7,0.0542,7,0.0542,116719,116719,116719,123004,0,1
12/31/2022,CORP,95670251,,3,0.003858,2,0.0014,18161948,26340448,24295828,,0,1
12/31/2022,CORP,90503520,,9,0.1533,9,0.1533,99047.1,150023.9,137279.7,243225.8,0,1
12/31/2022,CORP,38942944,,2,0.0015,3,0.0028,489901,1010093,880045,357417.02,0,1
12/31/2022,CORP,74444175,,2,0.0014,3,0.0028,0,400000,300000,93505.7,0,1
12/31/2022,CORP,83794676,,7,0.0453,7,0.0453,1374025,1493799,1463855.4,2418775,0,1
12/31/2022,CORP,64665255,,5,0.0121,5,0.0121,568093,950084.7,545518.92,388678.3,0,1
12/31/2022,CORP,53101979,,6,0.0168,6,0.0168,364727,650070,578735,510987,0,1
12/31/2022,CORP,69769149,,2,0.0015,3,0.0028,346379.5,906000,425739.88,154526.224,0,1
12/31/2022,CORP,57277345,,4,0.0044,4,0.0044,397877.9,495471.5,471073.1,207949.38,0,1
12/31/2022,CORP,60860015,,4,0.0074,4,0.0074,680185,842739,802100.6,351355.5,0,1
12/31/2022,CORP,89117886,,4,0.0057,4,0.0057,2193951,2193951,438790.3,368749.8,0,1
12/31/2022,CORP,27551097,,6,0.0252,6,0.0252,98343.6,300000,60000.02,54294.73,0,1
12/31/2022,CORP,50652569,,4,0.0049,5,0.0113,305361,420361,391611,229999.5,0,1
12/31/2022,CORP,89351497,,8,0.1091,8,0.1091,1864823,1864823,1864823,2225650.9,0,1
12/31/2022,CORP,75181543,,5,0.0113,5,0.0113,1066250,1151020.3,1129827.7,781780.1,0,1
12/31/2022,CORP,50622706,,5,0.0117,5,0.0117,287484.1,299999.6,63754.64,0,0,1
